Date,Close
8/14/2019,11.56
8/15/2019,10.91
8/16/2019,11.28
8/19/2019,12.43
8/20/2019,12.31
8/21/2019,12.11
8/22/2019,11.8
8/23/2019,11.18
8/26/2019,11.13
8/27/2019,10.34
8/28/2019,10.7
8/29/2019,11.08
8/30/2019,11.07
9/3/2019,10.68
9/4/2019,11.26
9/5/2019,11.6
9/6/2019,11.39
9/9/2019,12.23
9/10/2019,12.42
9/11/2019,13.23
9/12/2019,13.13
9/13/2019,13.1
9/16/2019,13.29
9/17/2019,12.96
9/18/2019,12.45
9/19/2019,11.06
9/20/2019,10.81
9/23/2019,11.04
9/24/2019,10.71
9/25/2019,11.45
9/26/2019,11.3
9/27/2019,11.33
9/30/2019,11.55
10/1/2019,11.93
10/2/2019,10.94
10/3/2019,10.79
10/4/2019,10.77
10/7/2019,10.92
10/8/2019,11.03
10/9/2019,10.09
10/10/2019,10.14
10/11/2019,11.34
10/14/2019,11.16
10/15/2019,11.43
10/16/2019,10.48
10/17/2019,10.63
10/18/2019,10.72
10/21/2019,10.64
10/22/2019,11.22
10/23/2019,11.17
10/24/2019,11.27
10/25/2019,11.71
10/28/2019,12.31
10/29/2019,12.22
10/30/2019,12.01
10/31/2019,11.51
11/1/2019,13.21
11/4/2019,13.3
11/5/2019,13.1
11/6/2019,12.84
11/7/2019,12.84
11/8/2019,13.57
11/11/2019,13.8
11/12/2019,13.73
11/13/2019,13.42
11/14/2019,12.91
11/15/2019,13.08
11/18/2019,13.28
11/19/2019,12.83
11/20/2019,12.78
11/21/2019,12.88
11/22/2019,13.46
11/25/2019,13.79
11/26/2019,13.68
11/27/2019,13.93
11/29/2019,13.12
12/2/2019,13.67
12/3/2019,13.14
12/4/2019,13.34
12/5/2019,13.33
12/6/2019,13.94
12/9/2019,14.09
12/10/2019,13.89
12/11/2019,13.9
12/12/2019,14.23
12/13/2019,13.71
12/16/2019,13.18
12/17/2019,13.48
12/18/2019,13.61
12/19/2019,13.36
12/20/2019,11.92
12/23/2019,11.81
12/24/2019,11.89
12/26/2019,11.43
12/27/2019,11.14
12/30/2019,11.24
12/31/2019,11.41
1/2/2020,10.82
1/3/2020,10.74
1/6/2020,10.79
1/7/2020,11.13
1/8/2020,11.1
1/9/2020,10.85
1/10/2020,10.72
1/13/2020,10.72
1/14/2020,10.91
1/15/2020,10.5
1/16/2020,10.46
1/17/2020,10.5
1/21/2020,9.95
